Event_ID,Year,Jurisdiction,Governance_Level,Macro_Category,Governance_Architecture,Redistribution_Type,Source_URL,Source_Quote,Coding_Rationale
V-001,2019,Singapore,National,MORATORIUM,Constraint,Spatial,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-002,2019,Amsterdam,Subnational,MORATORIUM,Constraint,Spatial,https://www.datacenterdynamics.com/en/analysis/the-ongoing-impact-of-amsterdams-data-center-moratorium/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-003,2020,Amsterdam,Subnational,MORATORIUM,Constraint,Spatial,https://www.datacenterdynamics.com/en/analysis/the-ongoing-impact-of-amsterdams-data-center-moratorium/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-004,2021,Ireland,National,GRID_REGULATION,Constraint,Sectoral,https://www.williamfry.com/knowledge/cru-publishes-long-awaited-final-policy-on-data-centre-connections/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-005,2021,Ireland,National,GRID_REGULATION,Constraint,Sectoral,https://www.williamfry.com/knowledge/cru-publishes-long-awaited-final-policy-on-data-centre-connections/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-006,2022,Dublin,Subnational,MORATORIUM,Constraint,Spatial,https://www.reconext.com/how-irelands-grid-broke-the-cloud/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-007,2022,Singapore,National,MORATORIUM,Constraint,Spatial,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-008,2022,Michigan,Subnational,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nrc.gov/info-finder/reactors/pali,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-009,2023,Singapore,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2023/four-data-centre-proposals-selected-as-part-of-pilot-data-centre-call-for-application,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-010,2023,EU,Supranational,GRID_REGULATION,Steering,Sectoral,https://www.eudca.org/energy-efficiency-directive,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-011,2023,EU,Supranational,GRID_REGULATION,Steering,Sectoral,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-012,2023,Netherlands,National,MORATORIUM,Constraint,Spatial,https://www.cbre.com/insights/reports/global-data-center-trends-2024,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-013,2024,Pennsylvania,Subnational,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://fortune.com/2024/10/16/google-amazon-microsoft-nuclear-energy-ai-data-centers/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-014,2024,Singapore,National,REGULATORY_FRAMEWORK,Steering,Temporal,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-015,2024,EU,Supranational,GRID_REGULATION,Steering,Sectoral,https://www.eudca.org/energy-efficiency-directive,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-016,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.datacenterdynamics.com/en/news/three-mile-island-nuclear-power-plant-to-return-as-microsoft-signs-20-year-835mw-ai-data-center-ppa/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-017,2024,Atlanta,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-018,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nucnet.org/news/doe-releases-additional-usd83-million-for-palisades-nuclear-restart-8-1-2025,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-019,2024,EU,Supranational,GRID_REGULATION,Steering,Sectoral,https://www.eudca.org/energy-efficiency-directive,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-020,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://spectrum.ieee.org/nuclear-powered-data-center,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-021,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://fortune.com/2024/10/16/google-amazon-microsoft-nuclear-energy-ai-data-centers/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-022,2024,Manassas,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.datacenterwatch.org/report,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-023,2024,Prince William County,Subnational,SITING_CONTROL,Constraint,Spatial,https://www.datacenterwatch.org/report,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-024,2024,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://gjia.georgetown.edu/2025/04/16/ais-energy-demands-and-nuclears-uncertain-future/,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-026,2025,US,National,NUCLEAR_GOVERNANCE,Steering,Temporal,https://www.nucnet.org/news/doe-releases-additional-usd83-million-for-palisades-nuclear-restart-8-1-2025,,"Classified as Temporal because the policy establishes forward-looking obligations, timelines, or phased implementation schedules."
V-027,2025,EU,Supranational,GRID_REGULATION,Steering,Sectoral,https://www.eudca.org/energy-efficiency-directive,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-028,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.canarymedia.com/articles/nuclear/holtec-palisades-restart-federal-approval,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-029,2025,US,National,NUCLEAR_PROCUREMENT,Facilitation,Sectoral,https://www.nrc.gov/info-finder/reactors/pali,,"Classified as Sectoral because the policy reallocates resources, capacity, or regulatory obligations across industry sectors."
V-030,2025,St. Charles,Subnational,MORATORIUM,Constraint,Spatial,https://www.stateside.com/blog/data-center-energy-demands,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-031,2025,Pike County,Subnational,MORATORIUM,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-032,2025,Lamar County,Subnational,MORATORIUM,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-033,2025,Troup County,Subnational,MORATORIUM,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
V-034,2025,Clayton County,Subnational,MORATORIUM,Constraint,Spatial,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,,Classified as Spatial because the policy applies to a defined geographic area or restricts/enables activity in a specific location.
